year,period,HR_IND
2030,6787,799.9816832
2030,6788,1024.475585
2030,6789,795.9774718
2030,6790,1032.992594
2030,6791,972.4197421
2030,6792,1024.039508
2030,6793,867.2929642
2030,6794,947.1871124
2030,6795,935.3172516
2030,6796,943.5305138
2030,6797,866.0900184
2030,6798,856.5724893
2030,6799,765.4505603
2030,6800,767.4303559
2030,6801,935.5041818
2030,6802,915.2854288
2030,6803,895.6345316
2030,6804,914.1851865
2030,6805,899.4693032
2030,6806,910.5764372
2030,6807,877.1887412
2030,6808,866.6523193
2030,6809,862.6916184
2030,6810,849.6723538
2030,6811,844.8651356
2030,6812,834.7985367
2030,6813,820.709052
2030,6814,809.7046112
2030,6815,787.4938904
2030,6816,764.7505598
2030,6817,864.1683165
2030,6818,862.7860198
2030,6819,821.0656015
2030,6820,864.1836972
2030,6821,776.1295749
2030,6822,744.3252088
2030,6823,635.5096579
2030,6824,895.6246721
2030,6825,849.47175
2030,6826,828.7063164
2030,6827,809.631855
2030,6828,804.7788785
2030,6829,784.5182346
2030,6830,790.8106449
2030,6831,785.3242313
2030,6832,736.0808263
2030,6833,778.0297876
2030,6834,777.2575881
2030,6835,779.5685343
2030,6836,785.2566678
2030,6837,778.3171218
2030,6838,787.2341945
2030,6839,794.5744823
2030,6840,795.9650634
2030,6841,1094.113245
2030,6842,952.5775767
2030,6843,947.9387627
2030,6844,946.0809509
2030,6845,950.7966176
2030,6846,911.6931338
2030,6847,947.5690635
2030,6848,899.913464
2030,6849,969.388534
2030,6850,1003.601842
2030,6851,955.6857881
2030,6852,961.3083918
2030,6853,783.4109576
2030,6854,1020.420657
2030,6855,1010.955514
2030,6856,1041.652597
2030,6857,1050.241217
2030,6858,1065.405637
2030,6859,1056.280792
2030,6860,1091.828654
2030,6861,1089.605371
2030,6862,1079.487887
2030,6863,1067.708731
2030,6864,1111.46138
2030,6865,958.7032428
2030,6866,1177.21297
2030,6867,1161.622992
2030,6868,911.8370381
2030,6869,1176.25671
2030,6870,1186.395566
2030,6871,1101.295727
2030,6872,1162.372051
2030,6873,1110.30164
2030,6874,1114.448068
2030,6875,1108.222662
2030,6876,1131.446864
2030,6877,1115.886361
2030,6878,1150.77044
2030,6879,1156.716342
2030,6880,1182.953862
2030,6881,1188.666974
2030,6882,1200.475293
2030,6883,956.7162553
2030,6884,1217.453968
2030,6885,993.4410134
2030,6886,1211.621453
2030,6887,1202.041353
2030,6888,1244.521027
2030,6889,847.8958828
2030,6890,1086.250184
2030,6891,1022.717648
2030,6892,841.2963871
2030,6893,992.5509011
2030,6894,898.0703995
2030,6895,910.0217724
2030,6896,1135.19186
2030,6897,1120.473227
2030,6898,1116.083505
2030,6899,1109.422308
2030,6900,1121.28749
2030,6901,1122.406429
2030,6902,1104.3705
2030,6903,1085.767296
2030,6904,1065.021976
2030,6905,1076.26877
2030,6906,1079.122906
2030,6907,847.3538056
2030,6908,1081.155135
2030,6909,846.9767691
2030,6910,1085.01328
2030,6911,1032.292676
2030,6912,1083.784901
2030,6913,982.8739523
2030,6914,1216.000004
2030,6915,1211.514385
2030,6916,974.5591888
2030,6917,1103.99711
2030,6918,1065.354211
2030,6919,997.61242
2030,6920,1243.145516
2030,6921,1172.126768
2030,6922,1214.905901
2030,6923,1213.073242
2030,6924,1224.246391
2030,6925,1222.51397
2030,6926,1201.720854
2030,6927,1185.036917
2030,6928,1174.821526
2030,6929,1178.106798
2030,6930,1182.099318
2030,6931,948.470502
2030,6932,1185.597711
2030,6933,960.8756961
2030,6934,1144.173914
2030,6935,1197.706732
2030,6936,1198.002384
2030,6937,906.8918257
2030,6938,1143.054919
2030,6939,1136.079938
2030,6940,895.2794579
2030,6941,1052.671028
2030,6942,967.7498962
2030,6943,934.1791635
2030,6944,1169.480906
2030,6945,1164.173718
2030,6946,1139.821144
2030,6947,1085.095613
2030,6948,1093.592317
2030,6949,1100.112163
2030,6950,1137.366904
2030,6951,1118.053219
2030,6952,1099.384286
2030,6953,1100.105071
2030,6954,1103.959351
2030,6955,876.3591651
2030,6956,1107.633531
2030,6957,887.7379297
2030,6958,1130.538779
2030,6959,1119.510609
2030,6960,1120.767381
2030,6961,947.8049296
2030,6962,1027.852219
2030,6963,1016.614237
2030,6964,1028.562577
2030,6965,934.8106905
2030,6966,915.7554973
2030,6967,867.6592653
2030,6968,852.2278159
2030,6969,961.3205898
2030,6970,1024.303999
2030,6971,1004.989968
2030,6972,1025.401754
2030,6973,1010.785998
2030,6974,999.5663992
2030,6975,949.8735889
2030,6976,937.2087383
2030,6977,932.8648119
2030,6978,921.2046178
2030,6979,917.3198162
2030,6980,914.907298
2030,6981,898.9144959
2030,6982,829.7493937
2030,6983,869.1835731
2030,6984,845.094615
2030,6985,963.1808491
2030,6986,962.8648697
2030,6987,921.0551307
2030,6988,966.7983175
2030,6989,856.0568199
2030,6990,760.8890851
2030,6991,742.590261
2030,6992,994.6695192
2030,6993,949.4546477
2030,6994,945.0783229
2030,6995,877.0849253
2030,6996,869.0362659
2030,6997,853.9633295
2030,6998,886.8627689
2030,6999,865.97782
2030,7000,813.4489516
2030,7001,856.8811644
2030,7002,859.2811915
2030,7003,863.1255762
2030,7004,877.9771676
2030,7005,872.8262888
2030,7006,884.6588772
2030,7007,891.4346257
2030,7008,892.2301448
2030,7009,1234.179234
2030,7010,1022.115924
2030,7011,1085.950879
2030,7012,1086.126433
2030,7013,1095.137278
2030,7014,1108.814166
2030,7015,1089.927198
2030,7016,1040.507547
2030,7017,1098.876788
2030,7018,1132.318905
2030,7019,1125.435589
2030,7020,1087.582562
2030,7021,955.0435322
2030,7022,1145.752504
2030,7023,1132.037935
2030,7024,1173.860476
2030,7025,1177.930165
2030,7026,1180.813152
2030,7027,1151.382646
2030,7028,1189.314061
2030,7029,1156.255941
2030,7030,1166.95653
2030,7031,1156.100545
2030,7032,1237.587281
2030,7033,1099.473208
2030,7034,1313.416532
2030,7035,1239.916299
2030,7036,1051.601127
2030,7037,1317.437922
2030,7038,1269.988918
2030,7039,1293.836843
2030,7040,1310.209373
2030,7041,1254.90791
2030,7042,1282.814792
2030,7043,1274.676691
2030,7044,1305.991777
2030,7045,1287.963145
2030,7046,1300.617629
2030,7047,1286.477069
2030,7048,1316.302975
2030,7049,1325.725003
2030,7050,1341.130853
2030,7051,1095.171012
2030,7052,1365.0055
2030,7053,1131.924245
2030,7054,1344.282744
2030,7055,1282.462527
2030,7056,1381.08108
2030,7057,906.1126916
2030,7058,1144.466993
2030,7059,1081.222621
2030,7060,900.6658538
2030,7061,1040.393789
2030,7062,940.1499975
2030,7063,943.456436
2030,7064,1189.157295
2030,7065,1172.567489
2030,7066,1166.665851
2030,7067,1159.787582
2030,7068,1172.300187
2030,7069,1173.490219
2030,7070,1154.877961
2030,7071,1136.851086
2030,7072,1116.105766
2030,7073,1128.217054
2030,7074,1132.223847
2030,7075,900.4509548
2030,7076,1135.693107
2030,7077,901.2265763
2030,7078,1140.588644
2030,7079,1087.983305
2030,7080,1139.360265
2030,7081,1050.230735
2030,7082,1282.170618
2030,7083,1220.599645
2030,7084,1042.923791
2030,7085,1158.6727
2030,7086,1056.270841
2030,7087,1036.026426
2030,7088,1305.6094
2030,7089,1294.722872
2030,7090,1269.375081
2030,7091,1266.761672
2030,7092,1281.523622
2030,7093,1279.22479
2030,7094,1255.559791
2030,7095,1238.71474
2030,7096,1229.976114
2030,7097,1239.60384
2030,7098,1246.008536
2030,7099,1014.767658
2030,7100,1250.021333
2030,7101,1019.448794
2030,7102,1261.362914
2030,7103,1203.430782
2030,7104,1254.550823
2030,7105,969.3336677
2030,7106,1204.430444
2030,7107,1198.366315
2030,7108,957.4053393
2030,7109,1104.623013
2030,7110,1066.634614
2030,7111,917.0329151
2030,7112,1220.171917
2030,7113,1208.22271
2030,7114,1161.683551
2030,7115,1155.659884
2030,7116,1169.382724
2030,7117,1171.753466
2030,7118,1181.192257
2030,7119,1178.92017
2030,7120,1163.536701
2030,7121,1165.23883
2030,7122,1169.20701
2030,7123,942.9721241
2030,7124,1169.841905
2030,7125,947.5531761
2030,7126,1191.217556
2030,7127,1181.082538
2030,7128,1182.60576
2030,7129,996.1344549
2030,7130,1077.09492
2030,7131,1065.281282
2030,7132,1076.556266
2030,7133,970.6066548
2030,7134,894.8148866
2030,7135,890.7116643
2030,7136,895.3519087
2030,7137,1063.63358
2030,7138,1057.628246
2030,7139,987.9730559
2030,7140,1003.330516
2030,7141,993.9478836
2030,7142,1031.153888
2030,7143,982.6587439
2030,7144,968.8368586
2030,7145,966.7960398
2030,7146,957.5311758
2030,7147,955.1281694
2030,7148,954.7356747
2030,7149,942.2893137
2030,7150,934.8698887
2030,7151,912.1528461
2030,7152,888.7562361
2030,7153,1026.957035
2030,7154,1026.641055
2030,7155,985.1533827
2030,7156,1031.862768
2030,7157,908.2386231
2030,7158,806.6295647
2030,7159,778.0175411
2030,7160,1053.502636
2030,7161,1006.796592
2030,7162,1000.704941
2030,7163,932.7115435
2030,7164,924.5437258
2030,7165,909.7928556
2030,7166,942.9164481
2030,7167,922.6756316
2030,7168,870.1467631
2030,7169,914.5451745
2030,7170,918.2334663
2030,7171,921.0904072
2030,7172,937.5523295
2030,7173,932.0793845
2030,7174,945.3934774
2030,7175,952.2980524
2030,7176,952.964745
2030,7177,1301.423379
2030,7178,1154.636162
2030,7179,1148.947038
2030,7180,1148.139536
2030,7181,1154.955823
2030,7182,1116.902649
2030,7183,1144.775195
2030,7184,1103.239431
2030,7185,1157.393996
2030,7186,1197.075924
2030,7187,1146.226012
2030,7188,1158.150475
2030,7189,977.1021111
2030,7190,1217.045668
2030,7191,1204.429596
2030,7192,1241.428538
2030,7193,1250.017158
2030,7194,1269.382817
2030,7195,1255.622591
2030,7196,1301.022337
2030,7197,1296.481363
2030,7198,1282.162639
2030,7199,1267.232553
2030,7200,1320.437991
2030,7201,1183.248672
2030,7202,1397.08773
2030,7203,1379.744618
2030,7204,1132.181903
2030,7205,1396.865652
2030,7206,1355.116867
2030,7207,1368.211539
2030,7208,1389.590036
2030,7209,1325.812191
2030,7210,1355.183213
2030,7211,1296.81375
2030,7212,1322.177404
2030,7213,1307.628928
2030,7214,1373.595061
2030,7215,1359.667404
2030,7216,1389.503843
2030,7217,1395.150958
2030,7218,1412.655427
2030,7219,1163.639775
2030,7220,1442.215765
2030,7221,1218.213099
2030,7222,1432.34395
2030,7223,1418.550552
2030,7224,1470.968306
2030,7225,887.2554397
2030,7226,1127.709085
2030,7227,1120.993
2030,7228,880.5392965
2030,7229,1021.015019
2030,7230,927.4218635
2030,7231,925.7980255
2030,7232,1169.293141
2030,7233,1151.394241
2030,7234,1145.604617
2030,7235,1089.817153
2030,7236,1094.176535
2030,7237,1100.316405
2030,7238,1133.181529
2030,7239,1116.55061
2030,7240,1093.17149
2030,7241,1101.299193
2030,7242,1105.36349
2030,7243,873.3914317
2030,7244,1113.054222
2030,7245,888.4002116
2030,7246,1130.977557
2030,7247,1127.693381
2030,7248,1128.930865
2030,7249,1163.388016
2030,7250,1239.00456
2030,7251,1235.789998
2030,7252,1245.680151
2030,7253,1106.417154
2030,7254,1009.369837
2030,7255,988.5813776
2030,7256,1059.77348
2030,7257,1229.058945
2030,7258,1199.104724
2030,7259,1145.727032
2030,7260,1154.567219
2030,7261,1152.077164
2030,7262,1176.578132
2030,7263,1149.134929
2030,7264,1129.335388
2030,7265,1124.81355
2030,7266,1125.982986
2030,7267,1120.715145
2030,7268,1121.428653
2030,7269,1110.939627
2030,7270,1112.245639
2030,7271,1089.182949
2030,7272,1064.710366
2030,7273,976.4947506
2030,7274,972.5133895
2030,7275,935.2693834
2030,7276,985.7004662
2030,7277,874.4340385
2030,7278,779.9972599
2030,7279,748.0882552
2030,7280,1005.844035
2030,7281,987.7794339
2030,7282,960.9758178
2030,7283,903.4699669
2030,7284,914.8563701
2030,7285,928.1227637
2030,7286,965.6273548
2030,7287,944.864569
2030,7288,882.0418014
2030,7289,920.3167635
2030,7290,925.7435015
2030,7291,936.0811699
2030,7292,947.0567823
2030,7293,948.8060752
2030,7294,968.0996761
2030,7295,972.1062882
2030,7296,972.2436405
2030,7297,986.0732158
2030,7298,1064.934337
2030,7299,996.461482
2030,7300,1067.023538
2030,7301,965.563368
2030,7302,885.9566498
2030,7303,889.1921259
2030,7304,886.8281729
2030,7305,1057.683456
2030,7306,1053.654121
2030,7307,1034.427626
2030,7308,1057.762587
2030,7309,1043.299186
2030,7310,1029.506741
2030,7311,979.3537805
2030,7312,968.1656949
2030,7313,969.0644541
2030,7314,959.4354354
2030,7315,956.4046598
2030,7316,951.3710156
2030,7317,929.0259942
2030,7318,917.5719391
2030,7319,845.4813608
2030,7320,872.2765985
2030,7321,1012.622639
2030,7322,1011.240342
2030,7323,970.2806665
2030,7324,1015.68099
2030,7325,897.1971661
2030,7326,849.960878
2030,7327,716.8035516
2030,7328,1033.428599
2030,7329,982.9263077
2030,7330,957.8134902
2030,7331,938.9561002
2030,7332,936.1682799
2030,7333,916.8854499
2030,7334,921.8734466
2030,7335,917.9085181
2030,7336,868.665113
2030,7337,912.2450879
2030,7338,914.5158585
2030,7339,918.0236754
2030,7340,927.0813788
2030,7341,919.3810903
2030,7342,931.7975787
2030,7343,939.4421635
2030,7344,940.5284475
